,author,author_type,link,city,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_m2,price_per_month,commissions,district,street,house_number,underground
289,ID 108210685,realtor,https://ekb.cian.ru/rent/flat/294075423/,Екатеринбург,rent,flat,8,32,1,39.0,641,25000,0,Кировский, Сулимова,3,
290,Все о недвижимости,real_estate_agent,https://ekb.cian.ru/rent/flat/294905772/,Екатеринбург,rent,flat,4,6,3,92.0,489,45000,0,Ленинский, Краснолесья,14к2,Чкаловская
291,Антон Кремлев,realtor,https://ekb.cian.ru/rent/flat/293688091/,Екатеринбург,rent,flat,8,10,3,100.0,800,80000,0,Центр, Энгельса,15,Площадь 1905 года
292,ID 102440657,homeowner,https://ekb.cian.ru/rent/flat/291487085/,Екатеринбург,rent,flat,1,2,2,41.5,481,20000,0,Чкаловский, Патриса Лумумбы,12,Ботаническая
293,Все о недвижимости,real_estate_agent,https://ekb.cian.ru/rent/flat/294536082/,Екатеринбург,rent,flat,4,23,2,44.0,795,35000,0,, Академика Парина,31,Чкаловская
294,Сергей Гаврин,realtor,https://ekb.cian.ru/rent/flat/290910901/,Екатеринбург,rent,flat,21,30,3,100.0,950,95000,0,Центр, Московская,75,Геологическая
295,ID 103157954,homeowner,https://ekb.cian.ru/rent/flat/287441637/,Екатеринбург,rent,flat,15,24,1,41.0,609,25000,0,Верх-Исетский, Татищева,54,Площадь 1905 года
296,Антон Кремлев,realtor,https://ekb.cian.ru/rent/flat/294850997/,Екатеринбург,rent,flat,11,16,1,43.0,1511,65000,0,Центр, Куйбышева,21,Геологическая
297,Артем Сайфамлюков,realtor,https://ekb.cian.ru/rent/flat/294686335/,Екатеринбург,rent,flat,17,26,3,110.0,636,70000,0,Центр, Московская,77,Геологическая
298,ID 107948037,unknown,https://ekb.cian.ru/rent/flat/294982268/,Екатеринбург,rent,flat,29,34,1,40.0,750,30000,0,Октябрьский, Белинского,177Ак3,Ботаническая
299,Европа Центр,real_estate_agent,https://ekb.cian.ru/rent/flat/294924423/,Екатеринбург,rent,flat,2,19,3,81.0,864,70000,0,Октябрьский, Белинского,86,Геологическая
300,Европа Центр,real_estate_agent,https://ekb.cian.ru/rent/flat/294926494/,Екатеринбург,rent,flat,7,26,1,42.0,1071,45000,0,Автовокзал,переулок Шаронова,31,Чкаловская
301,Антон Кремлев,realtor,https://ekb.cian.ru/rent/flat/294892790/,Екатеринбург,rent,flat,16,28,2,90.0,722,65000,0,Центр, Хохрякова,43,Геологическая
302,Антон Кремлев,realtor,https://ekb.cian.ru/rent/flat/294890924/,Екатеринбург,rent,flat,12,43,2,91.0,796,72500,0,Центр, Февральской Революции,15,Площадь 1905 года
303,ID 107948037,unknown,https://ekb.cian.ru/rent/flat/294984142/,Екатеринбург,rent,flat,1,10,1,21.0,1190,25000,0,Чкаловский, Дорожная,12,Ботаническая
304,Сергей Гаврин,realtor,https://ekb.cian.ru/rent/flat/278981239/,Екатеринбург,rent,flat,12,16,3,100.0,1400,140000,0,Центр, Гоголя,18,Площадь 1905 года
305,КИТ,real_estate_agent,https://ekb.cian.ru/rent/flat/294948027/,Екатеринбург,rent,flat,23,25,1,26.7,1048,28000,0,Орджоникидзевский, Парниковая,6,
306,ID 17185387,homeowner,https://ekb.cian.ru/rent/flat/294567502/,Екатеринбург,rent,flat,25,25,3,54.0,648,35000,0,Чкаловский,переулок Широкий,6,Ботаническая
307,Европа Центр,real_estate_agent,https://ekb.cian.ru/rent/flat/294945739/,Екатеринбург,rent,flat,10,22,2,68.0,808,55000,0,Автовокзал, Чапаева,72А,Чкаловская
