,author,author_type,link,city,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_m2,price_per_month,commissions,district,street,house_number,underground
401,HOME НЕДВИЖИМОСТЬ,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294549912/,Новосибирск,rent,flat,13,26,1,28.0,1428,40000,0,Ленинский, Ясный Берег,23,Площадь Ленина
402,Rielt Market,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/295029010/,Новосибирск,rent,flat,7,27,2,44.6,829,37000,0,Заельцовский,Дачная ,42,Заельцовская
403,ЖИЛФОНД,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294943275/,Новосибирск,rent,flat,7,10,1,40.0,550,22000,0,Ленинский, Связистов,15,Площадь Маркса
404,HOME НЕДВИЖИМОСТЬ,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/293734236/,Новосибирск,rent,flat,2,22,1,30.0,1166,35000,0,Железнодорожный,Фабричная ,65/3,Площадь Гарина-Михайловского
405,РиэлтКом,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294708668/,Новосибирск,rent,flat,6,9,2,54.0,592,32000,0,Советский, Полевая,8,
406,ЖИЛФОНД,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294866915/,Новосибирск,rent,flat,3,17,1,37.0,486,18000,0,Ленинский,Междуреченская ,1,Площадь Гарина-Михайловского
407,МакроМир,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294683939/,Новосибирск,rent,flat,8,10,2,58.0,517,30000,0,Железнодорожный, Прибрежная,4,Площадь Гарина-Михайловского
408,Марина Иванова,realtor,https://novosibirsk.cian.ru/rent/flat/295038925/,Новосибирск,rent,flat,8,10,1,36.0,722,26000,0,Ленинский,Тихвинская ,14,
409,ЖИЛФОНД,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294804253/,Новосибирск,rent,flat,2,12,2,47.0,744,35000,0,Октябрьский, Бориса Богаткова,230,Золотая Нива
410,HOME НЕДВИЖИМОСТЬ,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294628436/,Новосибирск,rent,flat,17,17,3,105.0,714,75000,0,Дзержинский, Адриена Лежена,9/2,
411,Этажи Новосибирск,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294503252/,Новосибирск,rent,flat,9,9,3,64.1,468,30000,0,Октябрьский, Ключ-Камышенское плато,8,
412,ЖИЛФОНД,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294733697/,Новосибирск,rent,flat,3,10,1,35.0,571,20000,0,Кировский, Виктора Уса,3,Площадь Маркса
413,ЖИЛФОНД,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294445521/,Новосибирск,rent,flat,6,10,2,53.0,415,22000,0,Калининский, Земнухова,6,Заельцовская
414,ID 102789636,unknown,https://novosibirsk.cian.ru/rent/flat/294250323/,Новосибирск,rent,flat,3,10,1,35.0,514,18000,0,Октябрьский, Виталия Потылицына,11,Золотая Нива
415,Этажи Новосибирск,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294861028/,Новосибирск,rent,flat,3,9,2,35.0,657,23000,0,Кировский, Зорге,129,
416,Этажи Новосибирск,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294691158/,Новосибирск,rent,flat,3,10,3,87.0,344,30000,0,Кировский, Виктора Шевелева,38/1,
417,Андрей Каравайцев,realtor,https://novosibirsk.cian.ru/rent/flat/295070857/,Новосибирск,rent,flat,2,9,2,55.0,454,25000,0,Калининский, Курчатова,7/3,Заельцовская
418,HOME НЕДВИЖИМОСТЬ,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294663124/,Новосибирск,rent,flat,9,9,1,26.0,1346,35000,0,Ленинский, Ясный Берег,12,Площадь Гарина-Михайловского
419,ID 71330202,unknown,https://novosibirsk.cian.ru/rent/flat/294798958/,Новосибирск,rent,flat,17,24,2,62.0,612,38000,0,Калининский, 25 лет Октября,14/3,
420,Этажи Новосибирск,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294441454/,Новосибирск,rent,flat,5,5,3,120.0,375,45000,0,Заельцовский, Медкадры,8,
