,author,author_type,link,city,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_m2,price_per_month,commissions,district,street,house_number,underground
367,The IMPERIUM,real_estate_agent,https://www.cian.ru/rent/flat/294992887/,Москва,rent,flat,14,21,1,32.0,1406,45000,0,Текстильщики,1-й Грайвороновский проезд,11к2,Текстильщики
368,Максим Лапенко,realtor,https://www.cian.ru/rent/flat/295042240/,Москва,rent,flat,7,25,3,113.0,3362,380000,0,Пресненский, Костикова,4к6,Улица 1905 года
369,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/295040254/,Москва,rent,flat,2,17,1,33.4,1787,59700,0,, Красулинская,22,Филатов Луг
370,The IMPERIUM,real_estate_agent,https://www.cian.ru/rent/flat/295040297/,Москва,rent,flat,5,6,1,40.0,2375,95000,0,Пресненский,Малый Тишинский переулок,20,Белорусская
371,ID 13148206,realtor,https://www.cian.ru/rent/flat/195504169/,Москва,rent,flat,1,14,4,90.0,1111,100000,0,Митино, Барышиха,33К1,Митино
372,The IMPERIUM,real_estate_agent,https://www.cian.ru/rent/flat/295015427/,Москва,rent,flat,1,10,1,35.0,1714,60000,0,Фили-Давыдково,Кастанаевская ,57К3,Кунцевская
373,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/295016289/,Москва,rent,flat,13,33,1,43.1,1459,62900,0,Рязанский, Михайлова,30Ак6,Окская
374,KOVCHEG,real_estate_agent,https://www.cian.ru/rent/flat/294988972/,Москва,rent,flat,7,12,3,70.0,1214,85000,0,Южное Медведково,проезд Дежнева,17,Бабушкинская
375,The IMPERIUM,real_estate_agent,https://www.cian.ru/rent/flat/294999736/,Москва,rent,flat,3,8,3,90.0,1888,170000,0,Хамовники, Хамовнический Вал,14,Лужники
376,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/294973352/,Москва,rent,flat,2,9,1,15.0,4866,73000,0,Аэропорт,Большой Коптевский проезд,3С1,Аэропорт
377,BOYKOV Company,real_estate_agent,https://www.cian.ru/rent/flat/294251025/,Москва,rent,flat,18,29,3,84.0,2857,240000,0,Кунцево,Рублевское шоссе,101,Молодёжная
378,The IMPERIUM,real_estate_agent,https://www.cian.ru/rent/flat/294996707/,Москва,rent,flat,3,9,2,50.0,1400,70000,0,Фили-Давыдково,Аминьевское шоссе,32,Давыдково
379,The IMPERIUM,real_estate_agent,https://www.cian.ru/rent/flat/295004233/,Москва,rent,flat,8,9,2,45.0,1222,55000,0,Проспект Вернадского, Лобачевского,48/87,Проспект Вернадского
380,The IMPERIUM,real_estate_agent,https://www.cian.ru/rent/flat/294942941/,Москва,rent,flat,2,12,3,67.0,1194,80000,0,Южное Медведково,Полярная ,27к4,Медведково
381,The IMPERIUM,real_estate_agent,https://www.cian.ru/rent/flat/294991657/,Москва,rent,flat,5,23,2,82.0,1341,110000,0,Раменки, Раменки,20,Мичуринский проспект
382,The IMPERIUM,real_estate_agent,https://www.cian.ru/rent/flat/295036873/,Москва,rent,flat,3,4,2,53.0,2075,110000,0,Марьина роща,проезд 12-й Марьиной рощи,8С2,Марьина Роща
383,The IMPERIUM,real_estate_agent,https://www.cian.ru/rent/flat/294994885/,Москва,rent,flat,12,12,3,67.0,1119,75000,0,, Татьянин Парк,15к1,Говорово
384,The IMPERIUM,real_estate_agent,https://www.cian.ru/rent/flat/295038895/,Москва,rent,flat,4,24,3,80.0,1625,130000,0,Лефортово,Красноказарменная ,14Ак1,Авиамоторная
385,The IMPERIUM,real_estate_agent,https://www.cian.ru/rent/flat/295052435/,Москва,rent,flat,2,25,3,85.0,1764,150000,0,Хорошевский, Маргелова,3к5,Беговая
386,Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/294973395/,Москва,rent,flat,5,8,4,140.0,1785,250000,0,Басманный, Покровка,11,Чистые пруды
387,The IMPERIUM,real_estate_agent,https://www.cian.ru/rent/flat/294986363/,Москва,rent,flat,7,19,2,60.0,1083,65000,0,Чертаново Южное,Варшавское шоссе,170Ек7,Лесопарковая
388,The IMPERIUM,real_estate_agent,https://www.cian.ru/rent/flat/294990475/,Москва,rent,flat,4,9,2,50.0,1240,62000,0,Текстильщики, Артюхиной,8/10,Печатники
389,The IMPERIUM,real_estate_agent,https://www.cian.ru/rent/flat/294915963/,Москва,rent,flat,4,4,2,65.0,2076,135000,0,Таганский, Земляной Вал,61к1,Таганская
390,The IMPERIUM,real_estate_agent,https://www.cian.ru/rent/flat/295043874/,Москва,rent,flat,18,41,2,52.0,3269,170000,0,Хорошевский,Ленинградский проспект,37/4,ЦСКА
391,The IMPERIUM,real_estate_agent,https://www.cian.ru/rent/flat/295040304/,Москва,rent,flat,14,24,2,45.0,1777,80000,0,Лефортово,Красноказарменная ,14Ак1,Авиамоторная
392,The IMPERIUM,real_estate_agent,https://www.cian.ru/rent/flat/294197153/,Москва,rent,flat,7,26,3,70.0,1500,105000,0,Головинский,Кронштадтский бульвар,6к4,Водный стадион
393,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/294713381/,Москва,rent,flat,13,25,1,26.0,3076,80000,0,Хорошево-Мневники,3-я Хорошевская ,17А,Октябрьское поле
394,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/293954666/,Москва,rent,flat,2,11,1,25.5,2313,59000,0,Останкинский,Сельскохозяйственная ,37,Ботанический сад
395,The IMPERIUM,real_estate_agent,https://www.cian.ru/rent/flat/294964758/,Москва,rent,flat,6,19,1,40.0,1750,70000,0,Таганский,Рабочая ,16,Римская
396,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/294945811/,Москва,rent,flat,18,20,2,53.0,1628,86300,0,Очаково-Матвеевское,Озерная ,44,Озёрная
397,City View,real_estate_agent,https://www.cian.ru/rent/flat/293651964/,Москва,rent,flat,50,75,2,100.0,2400,240000,0,Пресненский,набережная Пресненская,8с1,Международная
398,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/294355658/,Москва,rent,flat,12,26,2,60.0,1233,74000,0,Митино,Муравская ,38к1,Пятницкое шоссе
399,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/294622018/,Москва,rent,flat,4,33,1,40.0,1315,52600,0,Отрадное,Сигнальный проезд,16к1,Владыкино
400,The IMPERIUM,real_estate_agent,https://www.cian.ru/rent/flat/294520621/,Москва,rent,flat,7,26,2,45.0,2444,110000,0,Хорошевский,Хорошевское шоссе,25Ак1,Полежаевская
401,The IMPERIUM,real_estate_agent,https://www.cian.ru/rent/flat/295065755/,Москва,rent,flat,20,33,3,62.0,1193,74000,0,Нижегородский,Новохохловская ,15к1,Новохохловская
402,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/293939580/,Москва,rent,flat,11,32,2,62.0,1258,78000,0,Богородское,Просторная ,7,Преображенская площадь
403,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/294813616/,Москва,rent,flat,24,33,2,81.0,1728,140000,0,Кунцево, Академика Павлова,38к1,Молодёжная
404,The IMPERIUM,real_estate_agent,https://www.cian.ru/rent/flat/294917811/,Москва,rent,flat,8,28,1,30.0,2333,70000,0,Щукино,Волоколамское шоссе,24к1,Стрешнево
405,The IMPERIUM,real_estate_agent,https://www.cian.ru/rent/flat/294869200/,Москва,rent,flat,14,21,1,25.0,2120,53000,0,Сокольники, Сокольнический Вал,1,Рижская
406,The IMPERIUM,real_estate_agent,https://www.cian.ru/rent/flat/294942521/,Москва,rent,flat,19,33,3,60.0,1583,95000,0,Нагатино-Садовники,2-й Нагатинский проезд,2/2к1,Коломенская
407,The IMPERIUM,real_estate_agent,https://www.cian.ru/rent/flat/295009402/,Москва,rent,flat,8,33,2,42.0,1666,70000,0,Отрадное,,1.2,Владыкино
408,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/294674382/,Москва,rent,flat,2,17,2,65.3,995,65000,0,Рязанский, Михайлова,30Ак4,Окская
409,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/293574644/,Москва,rent,flat,13,17,2,62.4,1008,62900,0,Старое Крюково,Зеленоград,к829,Зеленоград — Крюково
410,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/294999055/,Москва,rent,flat,8,8,2,53.0,1320,70000,0,Ломоносовский,Ленинский проспект,93,Новаторская
411,The IMPERIUM,real_estate_agent,https://www.cian.ru/rent/flat/294734843/,Москва,rent,flat,3,16,3,142.0,2112,300000,0,Раменки,Мичуринский проспект,7К1,Ломоносовский проспект
412,The IMPERIUM,real_estate_agent,https://www.cian.ru/rent/flat/294633269/,Москва,rent,flat,11,11,2,68.0,1470,100000,0,Дорогомилово,площадь Победы,2К2,Парк Победы
413,Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/292676147/,Москва,rent,flat,7,13,2,75.0,5533,415000,0,Хамовники, Усачева,11Б,Спортивная
414,The IMPERIUM,real_estate_agent,https://www.cian.ru/rent/flat/294267273/,Москва,rent,flat,4,12,2,47.0,1382,65000,0,Ховрино,Петрозаводская ,6,Грачёвская
415,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/294050405/,Москва,rent,flat,17,17,1,38.2,1429,54600,0,Гольяново,Алтайская ,4,Щёлковская
